game_id,move_number,player,row,col,board_state,timestamp,winner
20250319_235557,5,1,2,1,101020012,2025-03-19 23:55:57,
20250319_235557,6,2,1,0,101220012,2025-03-19 23:55:57,
20250319_235557,7,1,1,2,101221012,2025-03-19 23:55:57,
20250319_235557,8,2,0,1,121221012,2025-03-19 23:55:57,
20250319_235557,9,1,2,0,121221112,2025-03-19 23:55:57,0
20250319_235558,1,1,2,1,000000010,2025-03-19 23:55:58,
20250319_235558,2,2,0,2,002000010,2025-03-19 23:55:58,
20250319_235558,3,1,1,2,002001010,2025-03-19 23:55:58,
20250319_235558,4,2,0,1,022001010,2025-03-19 23:55:58,
20250319_235558,5,1,1,0,022101010,2025-03-19 23:55:58,
20250319_235558,6,2,1,1,022121010,2025-03-19 23:55:58,
20250319_235558,7,1,0,0,122121010,2025-03-19 23:55:58,
20250319_235558,8,2,2,0,122121210,2025-03-19 23:55:58,2
20250319_235559,1,1,0,2,001000000,2025-03-19 23:55:59,
20250319_235559,2,2,2,2,001000002,2025-03-19 23:55:59,
20250319_235559,3,1,1,1,001010002,2025-03-19 23:55:59,
20250319_235559,4,2,0,1,021010002,2025-03-19 23:55:59,
20250319_235559,5,1,2,0,021010102,2025-03-19 23:55:59,1
20250319_235559,1,1,2,1,000000010,2025-03-19 23:55:59,
20250319_235559,2,2,0,1,020000010,2025-03-19 23:55:59,
20250319_235559,3,1,2,0,020000110,2025-03-19 23:55:59,
20250319_235559,4,2,1,2,020002110,2025-03-19 23:55:59,
20250319_235559,5,1,0,2,021002110,2025-03-19 23:56:00,
20250319_235559,6,2,0,0,221002110,2025-03-19 23:56:00,
20250319_235559,7,1,1,0,221102110,2025-03-19 23:56:00,
20250319_235559,8,2,2,2,221102112,2025-03-19 23:56:00,
20250319_235559,9,1,1,1,221112112,2025-03-19 23:56:00,1
20250319_235600,1,1,2,1,000000010,2025-03-19 23:56:00,
20250319_235600,2,2,1,2,000002010,2025-03-19 23:56:00,
20250319_235600,3,1,2,0,000002110,2025-03-19 23:56:00,
20250319_235600,4,2,1,1,000022110,2025-03-19 23:56:00,
20250319_235600,5,1,0,2,001022110,2025-03-19 23:56:01,
20250319_235600,6,2,1,0,001222110,2025-03-19 23:56:01,2
20250319_235601,1,1,0,0,100000000,2025-03-19 23:56:01,
20250319_235601,2,2,1,2,100002000,2025-03-19 23:56:01,
20250319_235601,3,1,0,2,101002000,2025-03-19 23:56:01,
20250319_235601,4,2,1,0,101202000,2025-03-19 23:56:01,
20250319_235601,5,1,1,1,101212000,2025-03-19 23:56:01,
20250319_235601,6,2,2,0,101212200,2025-03-19 23:56:01,
20250319_235601,7,1,2,1,101212210,2025-03-19 23:56:01,
20250319_235601,8,2,0,1,121212210,2025-03-19 23:56:02,
20250319_235601,9,1,2,2,121212211,2025-03-19 23:56:02,1
20250319_235602,1,1,2,2,000000001,2025-03-19 23:56:02,
20250319_235602,2,2,1,0,000200001,2025-03-19 23:56:02,
20250319_235602,3,1,0,2,001200001,2025-03-19 23:56:02,
20250319_235602,4,2,2,1,001200021,2025-03-19 23:56:02,
20250319_235602,5,1,0,1,011200021,2025-03-19 23:56:02,
20250319_235602,6,2,1,2,011202021,2025-03-19 23:56:02,
20250319_235602,7,1,0,0,111202021,2025-03-19 23:56:02,1
20250319_235603,1,1,2,0,000000100,2025-03-19 23:56:03,
20250319_235603,2,2,2,1,000000120,2025-03-19 23:56:03,
20250319_235603,3,1,1,1,000010120,2025-03-19 23:56:03,
20250319_235603,4,2,1,0,000210120,2025-03-19 23:56:03,
20250319_235603,5,1,2,2,000210121,2025-03-19 23:56:03,
20250319_235603,6,2,1,2,000212121,2025-03-19 23:56:03,
